Co-ordinates,REZ-W1,REZ-W2,REZ-W3,REZ-NT1,REZ-NT2,REZ-NT3,REZ-N1,REZ-N2,REZ-N3,REZ-N4,REZ-N5,REZ-N6,REZ-N7,REZ-N8,REZ-N9,REZ-Q1,REZ-Q2,REZ-Q3,REZ-Q4,REZ-Q5,REZ-Q6,REZ-Q7,REZ-Q8,REZ-S1,REZ-S2,REZ-S3,REZ-S4,REZ-S5,REZ-S6,REZ-S7,REZ-S8,REZ-S9,REZ-T1,REZ-T2,REZ-T3,REZ-V1,REZ-V2,REZ-V3,REZ-V4,REZ-V5,REZ-V6
Location,"Geraldton, WA","Ashburton, WA","Port Hedland, WA","Baines, NT","McArthur, NT","Tennant Creek, NT",North West NSW,New England,Central West NSW,Southern NSW Tablelands,"Broken Hill, NSW",South West NSW,"Wagga Wagga, NSW","Tumut, NSW","Cooma Monaro, NSW",Far North QLD,Clean Energy Hub North QLD,Northern QLD,"Isaac, QLD","Barcaldine, QLD","Fitzroy, QLD","Wide Bay, QLD","Darling Downs, QLD","South East, SA","Riverland, SA",Mid North SA,Yorke Peninsula SA,Northern SA,"Leigh Creek, SA",Roxby Downs SA,"Eastern Eyre Peninsula, SA","Western Eyre Peninsula, SA",North East Tasmania,North West Tasmania,Tasmania Midlands,"Ovens Murray, VIC","Murray River, VIC",Western VIC,"Moyne, VIC","Gippsland, VIC",Central North VIC
2/01/2019 5:30,0.260701,0.010291,0.3626,0.723653,0.068862,0.536552,0.533307,0.321969,0.9,0.7378025,0.897764,0.35758,0.195123,0.2542585,0.052742,0.899644,0.771252,0.8734425,0.496698,0.6482995,0.3466815,0.317089,0.829451,0.083344,0.2714825,0.848629,0.452495,0.5963715,0.8999925,0.63746,0.5559945,0.4676305,0.4352815,0.286819,0.895266,0.0349425,0.4396295,0.600526,0.0526595,0.0547475,0.89098
2/01/2019 6:30,0.231338,0.002099,0.2226,0.695096,0.066186,0.319745,0.512362,0.4187775,0.8992395,0.7670695,0.893318,0.3434105,0.109065,0.293335,0.0541195,0.8995735,0.855722,0.8768415,0.356572,0.60858,0.328532,0.239979,0.8343995,0.0769505,0.214199,0.82071,0.4273465,0.4529065,0.8998005,0.595945,0.571482,0.421773,0.4412865,0.2800465,0.8458375,0.0370635,0.3639755,0.501516,0.0428555,0.0425355,0.884978
2/01/2019 7:30,0.190512,0.000532,0.1259,0.762614,0.027188,0.395419,0.537937,0.424048,0.882991,0.757962,0.8463485,0.2958935,0.0261365,0.2552245,0.0345945,0.8996045,0.8810545,0.830592,0.301788,0.5728195,0.3607075,0.1893485,0.8330835,0.085678,0.1598985,0.786303,0.4180975,0.315765,0.898099,0.4611375,0.569738,0.348425,0.5254485,0.250681,0.7173255,0.0353205,0.266157,0.3642065,0.046979,0.04142,0.8546705
2/01/2019 8:30,0.174928,0.000103,0.077,0.732985,0.00041,0.335654,0.4953615,0.393068,0.727799,0.7319735,0.745713,0.2355335,0.0035755,0.2790915,0.033874,0.8984085,0.8894335,0.6295775,0.3459225,0.6570265,0.412475,0.198987,0.7435875,0.09057,0.100632,0.7355555,0.420097,0.208956,0.893813,0.3541975,0.508709,0.1828655,0.6176815,0.242896,0.6682995,0.040772,0.176712,0.2566385,0.043535,0.0308555,0.785142
2/01/2019 9:30,0.183988,0.000008,0.0654,0.622885,0.000299,0.218087,0.3925335,0.3214085,0.452587,0.7768975,0.6083095,0.1785355,0.0014555,0.4105555,0.0387645,0.897752,0.8938615,0.3564535,0.326016,0.772547,0.411246,0.1972145,0.610154,0.0877385,0.0701185,0.64562,0.4323395,0.141122,0.8854745,0.269752,0.40973,0.0947065,0.612861,0.26799,0.6553355,0.045078,0.112037,0.185932,0.03241,0.0196975,0.5903075
2/01/2019 10:30,0.220982,0,0.0731,0.461246,0.001599,0.137926,0.273701,0.2692125,0.2170915,0.8046675,0.488269,0.114548,0.0002065,0.560443,0.0267205,0.897435,0.895681,0.246762,0.3041065,0.779817,0.356178,0.2115595,0.40683,0.085471,0.0736655,0.5325475,0.378319,0.121597,0.860905,0.1827065,0.317518,0.05905,0.6320405,0.279723,0.573324,0.03619,0.0716235,0.1213915,0.027354,0.019299,0.372105
2/01/2019 11:30,0.284766,0,0.0725,0.29672,0.005791,0.097593,0.1328545,0.2823175,0.087054,0.7613875,0.404656,0.065502,0.022325,0.645366,0.0184065,0.898108,0.895365,0.30475,0.3230575,0.730218,0.373659,0.1984155,0.236259,0.122419,0.0784075,0.3835455,0.285946,0.0814635,0.8365225,0.109384,0.294025,0.0491535,0.682982,0.3257475,0.4488185,0.0229165,0.0583825,0.1088855,0.035852,0.0236205,0.279393
2/01/2019 12:30,0.367196,0,0.0332,0.199348,0.009414,0.089931,0.0624925,0.3236315,0.0408345,0.770803,0.330621,0.052145,0.072543,0.6421185,0.0242825,0.899669,0.8909175,0.357932,0.37161,0.6614635,0.469421,0.162666,0.209512,0.1848235,0.075032,0.236631,0.204677,0.0276415,0.7637915,0.0569395,0.3025655,0.04502,0.727639,0.402239,0.3406775,0.013077,0.0481865,0.1166125,0.051971,0.042517,0.25025
2/01/2019 13:30,0.444113,0,0.0249,0.165441,0.011893,0.104999,0.0318425,0.3539295,0.01448,0.790925,0.284266,0.0631885,0.1262525,0.518269,0.0500075,0.899775,0.8775205,0.375343,0.3902105,0.635891,0.5822505,0.146143,0.2009455,0.2241775,0.0657155,0.1237415,0.131355,0.0104485,0.5731375,0.03811,0.289022,0.0417905,0.780919,0.423039,0.2510025,0.007424,0.0394385,0.138642,0.090221,0.055851,0.2852655
2/01/2019 14:30,0.496419,0.000013,0.0895,0.192638,0.017085,0.128067,0.0112185,0.4198755,0.0034895,0.744041,0.2287815,0.0666255,0.1622405,0.259623,0.0599205,0.899868,0.838251,0.364071,0.5055945,0.6203795,0.7148325,0.1329895,0.228225,0.2659115,0.064196,0.062273,0.117188,0.002124,0.375263,0.035591,0.242264,0.075914,0.790637,0.417198,0.1615705,0.0071875,0.038545,0.1782245,0.131066,0.062802,0.367528
